time,agent,model,iteration,total_iterations,progress_pct,best_acc,conv_reference_best,gap_to_reference,status,log_path
2026-07-06T17:12:21,2,vgg,1699,10000,16.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:17:21,2,vgg,1699,10000,16.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:22:21,2,vgg,1799,10000,17.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:27:21,2,vgg,1799,10000,17.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:32:21,2,vgg,1799,10000,17.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:37:21,2,vgg,1799,10000,17.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:42:21,2,vgg,1899,10000,18.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:47:21,2,vgg,1899,10000,18.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:52:21,2,vgg,1899,10000,18.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:57:21,2,vgg,1959,10000,19.59,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:02:21,2,vgg,1998,10000,19.98,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:07:21,2,vgg,1998,10000,19.98,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:12:21,2,vgg,1998,10000,19.98,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:17:22,2,vgg,2099,10000,20.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:22:22,2,vgg,2099,10000,20.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:27:22,2,vgg,2099,10000,20.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:32:22,2,vgg,2099,10000,20.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:37:22,2,vgg,2199,10000,21.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:42:22,2,vgg,2199,10000,21.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:47:22,2,vgg,2199,10000,21.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:52:22,2,vgg,2298,10000,22.98,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T18:57:22,2,vgg,2298,10000,22.98,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T19:02:22,2,vgg,2298,10000,22.98,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
