run_name,receiver_agent,receiver_model,lambda_fr,lambda_kd,kd_temperature,acc_global_after,acc_new_after,acc_expert_after,forgetting,source_file
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p5_t4p0_self4p0,2,vgg,0.4,0.5,4.0,26.38,27.946666666666665,21.68,42.63999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p5_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p6_t4p0_self3p0,2,vgg,0.4,0.6,4.0,26.29,27.666666666666668,22.16,42.16,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p6_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p3_kd0p6_t4p0_self3p0,2,vgg,0.3,0.6,4.0,26.27,28.533333333333335,19.48,44.83999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p3_kd0p6_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t3p0_self3p0,2,vgg,0.3,0.6,3.0,26.26,27.533333333333335,22.44,41.879999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t3p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p5_t3p0_self4p0,2,vgg,0.4,0.5,3.0,26.25,27.08,23.76,40.55999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p5_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p6_t3p0_self3p0,2,vgg,0.35,0.6,3.0,26.24,27.493333333333332,22.48,41.83999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p6_t3p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p4_t4p0_self4p0,2,vgg,0.3,0.4,4.0,26.24,27.933333333333334,21.16,43.16,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p4_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p4_t3p0_self4p0,2,vgg,0.25,0.4,3.0,26.18,27.653333333333332,21.76,42.55999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p4_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p5_t3p0_self4p0,2,vgg,0.35,0.5,3.0,26.17,26.906666666666666,23.96,40.35999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p5_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p6_t3p0_self4p0,2,vgg,0.35,0.6,3.0,26.17,27.333333333333332,22.68,41.63999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p6_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p6_t4p0_self4p0,2,vgg,0.25,0.6,4.0,26.15,27.706666666666667,21.48,42.83999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p6_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p4_t3p0_self4p0,2,vgg,0.3,0.4,3.0,26.11,27.68,21.4,42.919999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p4_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p4_t4p0_self4p0,2,vgg,0.35,0.4,4.0,26.1,27.533333333333335,21.8,42.519999999999996,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p4_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p5_t3p0_self4p0,2,vgg,0.3,0.5,3.0,26.07,27.32,22.32,41.99999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p5_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p5_t4p0_self2p5,2,vgg,0.3,0.5,4.0,26.07,27.96,20.4,43.919999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p5_t4p0_self2p5/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr025_kd060_t3_sched_self20,2,vgg,0.25,0.6,3.0,26.05,28.12,19.84,44.47999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr025_kd060_t3_sched_self20/metrics/social_results.csv
