run_name,method,packet_method,init_mode,use_logits,use_generalist_logits,communication_mode,ipc,registry_source,num_agents,mean_ipc,mean_external_comm_images,mean_external_comm_logit_bytes,mean_external_comm_generalist_logit_bytes,mean_acc_global_before,mean_acc_expert_before,mean_acc_global_after,mean_acc_expert_after,mean_acc_new_after,mean_forgetting,mean_loss_cls,mean_loss_fr,mean_loss_kd,mean_loss_sender_kd,mean_loss_generalist_kd
cifar100_4agent_25cls_conv_family_tuning_H_ep200_fr020_kd075,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,32.985,42.31,29.8767,24.83,0.0522663,0.0989067,0.0791153,0.0791153,0
cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep150_lr0010_fr005_kd050_t2,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,15.77,63.08,28.7175,34.72,26.7167,28.36,0.135312,0.710458,0.324404,0.324404,0
cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep200_lr0010_fr005_kd050_t2,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,15.77,63.08,28.245,34.81,26.0567,28.27,0.144891,0.690002,0.353219,0.353219,0
cifar100_4agent_25cls_hetero_recv_convall_packet_ipc50_ep225_fr005_kd050_t2,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,15.77,63.08,38.3475,42.02,37.1233,21.06,0.102429,0.613385,0.237148,0.237148,0
cifar100_4agent_25cls_ipc50_allconvnet,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,45.1775,49.5,43.7367,15.87,0.0519516,0.442144,0.106521,0.0480795,0
cifar100_4agent_25cls_ipc50_allconvnet-conv70,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.45,65.8,44.5725,48.44,43.2833,17.36,0.0582605,0.438071,0.117968,0.0658127,0
cifar100_4agent_25cls_ipc50_allconvnet_baseline_nologit,FULL_REAL,full_real,expert,false,false,direct,50,pipeline_social_results,4,50,37500,0,0,16.3425,65.37,46.0375,47.87,45.4267,17.5,0.154552,0.859897,0,0,0
cifar100_4agent_25cls_ipc50_allconvnet_baseline_nologit,HEURISTIC,heuristic,expert,false,false,direct,50,pipeline_social_results,4,50,3750,0,0,16.3425,65.37,35.39,49.74,30.6067,15.63,0.0146118,0.0756102,0,0,0
cifar100_4agent_25cls_ipc50_allconvnet_cov70_baseline_nologit,FULL_REAL,full_real,expert,false,false,direct,50,pipeline_social_results,4,50,37500,0,0,16.45,65.8,46.5875,47.82,46.1767,17.98,0.105523,0.857912,0,0,0
cifar100_4agent_25cls_ipc50_allconvnet_cov70_baseline_nologit,HEURISTIC,heuristic,expert,false,false,direct,50,pipeline_social_results,4,50,3750,0,0,16.45,65.8,34.965,49.71,30.05,16.09,0.0178118,0.0611306,0,0,0
cifar100_4agent_25cls_ipc50_logit,DSDM_LOGIT,dsdm,expert,true,,,50,pipeline_social_results,4,50,3750,750000,,15.77,63.08,27.9625,35.55,25.4333,27.53,0.116694,0.533537,0.256024,,
cifar100_4agent_25cls_ipc50_logit,DSDM_LOGIT,dsdm,scratch,true,,,50,pipeline_social_results,4,50,3750,750000,,1.02,1.02,24.375,28.11,23.13,-27.09,0.126244,0,0.269066,,
cifar100_4agent_25cls_ipc50_logit,HEURISTIC_LOGIT,heuristic,expert,true,,,50,pipeline_social_results,4,50,3750,187500,,15.77,63.08,30.2475,37.21,27.9267,25.87,0.0709278,0.0625566,0.167871,,
cifar100_4agent_25cls_ipc50_logit,IMPORTANCE_LOGIT,importance,expert,true,,,50,pipeline_social_results,4,50,3750,187500,,15.77,63.08,18.29,32.91,13.4167,30.17,0.136562,0.382817,0.258903,,
cifar100_4agent_25cls_joint_tuning_ipc10_ep075_fr020_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,33.575,43.8,30.1667,23.34,0.0535904,0.0913341,0.108239,0.108239,0
cifar100_4agent_25cls_joint_tuning_ipc10_ep100_fr020_kd040,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,33.09,43.57,29.5967,23.57,0.036956,0.10628,0.175695,0.175695,0
cifar100_4agent_25cls_joint_tuning_ipc10_ep100_fr020_kd060,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,33.4275,43.8,29.97,23.34,0.0662409,0.124003,0.114458,0.114458,0
cifar100_4agent_25cls_joint_tuning_ipc10_ep125_fr020_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,33.24,43.77,29.73,23.37,0.0566633,0.130694,0.124886,0.124886,0
cifar100_4agent_25cls_joint_tuning_ipc50_ep300_fr005_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,46.1625,49,45.2167,16.37,0.0528397,0.488836,0.104137,0.104137,0
cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr003_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,45.3125,49.54,43.9033,15.83,0.0439915,0.567763,0.0900995,0.0900995,0
cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr0075_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,45.4075,49.46,44.0567,15.91,0.0577363,0.29013,0.0938445,0.0938445,0
cifar100_4agent_25cls_joint_tuning_ipc50_ep700_fr005_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,44.6375,49.84,42.9033,15.53,0.0580272,0.403063,0.10508,0.10508,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep050_fr020_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.035,44.21,30.6433,22.93,0.0448165,0.0809812,0.124643,0.124643,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep055_fr020_kd060_t2,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.2475,43.84,31.05,23.3,0.0513368,0.114788,0.0942288,0.0942288,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr015_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,33.76,43.49,30.5167,23.65,0.0504798,0.0978312,0.133534,0.133534,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.1825,43.57,31.0533,23.57,0.0479058,0.0849088,0.118226,0.118226,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t1,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,32.3325,44.97,28.12,22.17,0.0463285,0.103977,0.0327828,0.0327828,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_latesched,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.135,44.41,30.71,22.73,0.0590363,0.0945602,0.141872,0.141872,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.48,44.39,31.1767,22.75,0.0542013,0.0698028,0.107135,0.107135,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched_latesched,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.6775,44.47,31.4133,22.67,0.052796,0.053431,0.134551,0.134551,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched_self15,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.4275,45.38,30.7767,21.76,0.0554896,0.0449032,0.127127,0.127127,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self15,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.1175,45.63,30.28,21.51,0.0526914,0.0942778,0.123875,0.123875,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self20,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.3125,46.14,30.37,21,0.0618937,0.111272,0.16311,0.16311,0
