seed,method,n_agents,acc_global,acc_new,acc_expert,forgetting
seed0,HEURISTIC,4,22.75,17.83,37.5,30.72
seed0,DSDM,4,28.21,25.88,35.19,33.03
seed0,DSDM_LOGIT,4,31.96,29.82,38.35,29.87
seed1,HEURISTIC,4,21.52,19.28,28.24,38.78
seed1,DSDM,4,24.93,23.59,28.94,38.08
seed1,DSDM_LOGIT,4,27.88,26.62,31.64,35.3
seed2,HEURISTIC,4,18.05,16.0,24.22,39.27
seed2,DSDM,4,21.89,21.07,24.37,39.12
seed2,DSDM_LOGIT,4,24.88,24.59,25.74,37.75
