category	size_bytes	path	note
full_real_packet_hub	153701774	outputs/cifar100_4agent_25cls_upper_bound/packet_hub/full_real/agent_0_full_real_packet.pt	regenerable full_real packet copy; metrics/manifests retained
full_real_packet_hub	153701774	outputs/cifar100_4agent_25cls_upper_bound/packet_hub/full_real/agent_1_full_real_packet.pt	regenerable full_real packet copy; metrics/manifests retained
full_real_packet_hub	153701774	outputs/cifar100_4agent_25cls_upper_bound/packet_hub/full_real/agent_2_full_real_packet.pt	regenerable full_real packet copy; metrics/manifests retained
full_real_packet_hub	153701774	outputs/cifar100_4agent_25cls_upper_bound/packet_hub/full_real/agent_3_full_real_packet.pt	regenerable full_real packet copy; metrics/manifests retained
ipc10_tuning_expert_checkpoint_copy	2023046	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_dense_ep60_lr0p01_fr0p25_kd0p5_t3p0/agents/agent_0/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	4325454	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_dense_ep60_lr0p01_fr0p25_kd0p5_t3p0/agents/agent_1/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	39239126	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_dense_ep60_lr0p01_fr0p25_kd0p5_t3p0/agents/agent_2/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	28123900	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_dense_ep60_lr0p01_fr0p25_kd0p5_t3p0/agents/agent_3/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	2023046	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_dense_ep60_lr0p01_fr0p25_kd0p5_t4p0/agents/agent_0/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	4325454	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_dense_ep60_lr0p01_fr0p25_kd0p5_t4p0/agents/agent_1/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	39239126	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_dense_ep60_lr0p01_fr0p25_kd0p5_t4p0/agents/agent_2/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	28123900	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_dense_ep60_lr0p01_fr0p25_kd0p5_t4p0/agents/agent_3/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	2023046	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_g3_ep090_fr020_kd060_t3_sched/agents/agent_0/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	4325454	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_g3_ep090_fr020_kd060_t3_sched/agents/agent_1/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	39239126	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_g3_ep090_fr020_kd060_t3_sched/agents/agent_2/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	28123900	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_g3_ep090_fr020_kd060_t3_sched/agents/agent_3/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	2023046	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_g3_fr020_kd060_t3_sched_self20/agents/agent_0/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	4325454	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_g3_fr020_kd060_t3_sched_self20/agents/agent_1/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	39239126	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_g3_fr020_kd060_t3_sched_self20/agents/agent_2/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	28123900	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_g3_fr020_kd060_t3_sched_self20/agents/agent_3/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
ipc10_tuning_expert_checkpoint_copy	2023046	outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_alex_g3_fr020_kd070_t4_sched/agents/agent_0/checkpoints/expert_model.pt	repeated checkpoint inside tuning output; metrics/packets/logs retained
