run_name,path,bytes,reason
cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep500,outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep500,22921,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_ablation_fr020_kd050_ep500,outputs/cifar100_4agent_25cls_conv_family_ablation_fr020_kd050_ep500,22921,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_C_ep250_fr020_kd050,outputs/cifar100_4agent_25cls_conv_family_tuning_C_ep250_fr020_kd050,22918,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_G_ep200_fr020_kd060,outputs/cifar100_4agent_25cls_conv_family_tuning_G_ep200_fr020_kd060,22916,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_H_ep200_fr020_kd075,outputs/cifar100_4agent_25cls_conv_family_tuning_H_ep200_fr020_kd075,22906,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_F_ep200_fr025_kd050,outputs/cifar100_4agent_25cls_conv_family_tuning_F_ep200_fr025_kd050,22887,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_B_ep150_fr020_kd050,outputs/cifar100_4agent_25cls_conv_family_tuning_B_ep150_fr020_kd050,22886,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_ablation_fr050_kd050_ep500,outputs/cifar100_4agent_25cls_conv_family_ablation_fr050_kd050_ep500,22884,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_tuning_D_ep300_fr020_kd050,outputs/cifar100_4agent_25cls_conv_family_tuning_D_ep300_fr020_kd050,22864,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_conv_family_ablation_fr020_kd025_ep500,outputs/cifar100_4agent_25cls_conv_family_ablation_fr020_kd025_ep500,22861,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep200_lr0010_fr005_kd050_t2,outputs/cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep200_lr0010_fr005_kd050_t2,22525,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr006_kd050,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr006_kd050,22202,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep275_fr005_kd050,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep275_fr005_kd050,22171,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr004_kd050,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr004_kd050,22164,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd040,outputs/cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd040,22082,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr003_kd050,outputs/cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr003_kd050,22076,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr0075_kd050,outputs/cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr0075_kd050,22074,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_ipc50_ep350_fr005_kd050,outputs/cifar100_4agent_25cls_refine_tuning_ipc50_ep350_fr005_kd050,22073,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd060,outputs/cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd060,22039,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_joint_tuning_ipc50_ep700_fr005_kd050,outputs/cifar100_4agent_25cls_joint_tuning_ipc50_ep700_fr005_kd050,22024,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep300_lr0010_fr005_kd050_t2,outputs/cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep300_lr0010_fr005_kd050_t2,20444,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_teacher_quality_conv3_seed0_smoke_v2,outputs/cifar100_teacher_quality_conv3_seed0_smoke_v2,11145,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_teacher_quality_conv3_seed0_smoke,outputs/cifar100_teacher_quality_conv3_seed0_smoke,10535,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep300_lr0010_fr020_kd050_t3_ms,outputs/cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep300_lr0010_fr020_kd050_t3_ms,6102,non-best tuning/smoke/intermediate run; review before deleting artifacts
teacher_quality_seed0_summary_smoke,outputs/teacher_quality_seed0_summary_smoke,4201,non-best tuning/smoke/intermediate run; review before deleting artifacts
